"colMeans.states.","InfoPublYear","InfoPublMonth"
2,1986,3
2,1986,4
1.994,1986,5
2,1987,1
1.996,1987,8
2,1988,8
2,1990,1
1.999125,1990,2
2,1990,6
2,1990,11
2,1993,4
2,1993,6
2,1993,7
2,1993,8
1.998125,1993,9
2,1993,11
1.998875,1994,1
1.99825,1994,2
2,1994,5
2,1994,7
2,1995,1
2,1995,4
2,1995,5
1.999875,1995,6
2,1995,8
2,1995,9
2,1995,10
2,1995,11
2,1995,12
1.951375,1996,2
2,1996,3
2,1996,4
2,1996,5
2,1996,7
2,1996,8
2,1996,9
2,1996,10
2,1996,11
1.970875,1996,12
1.9995,1997,3
1.99975,1997,7
2,1997,8
2,1997,9
2,1997,10
2,1997,11
1.9995,1997,12
2,1998,1
1.99375,1998,4
2,1998,5
2,1998,6
1.997,1998,8
2,1998,9
2,1998,11
1.98675,1998,12
1.96625,1999,2
1.978625,1999,3
2,1999,4
2,1999,5
2,1999,8
1.991125,1999,10
2,1999,11
2,2000,1
2,2000,2
2,2000,3
1.99975,2000,4
2,2000,5
2,2000,6
2,2000,7
2,2000,8
2,2000,9
2,2000,10
2,2000,11
2,2000,12
2,2001,1
2,2001,2
1.99975,2001,3
1.9995,2001,4
2,2001,5
1.998625,2001,6
2,2001,7
1.364,2001,8
1.015625,2001,9
1.00275,2001,10
1,2001,11
1,2001,12
1,2002,1
1,2002,2
1.010125,2002,3
1.00025,2002,4
1,2002,5
1,2002,6
1,2002,7
1,2002,8
1,2002,9
1,2002,10
1,2002,11
1,2002,12
1,2003,1
1,2003,2
1,2003,3
1,2003,4
1,2003,5
1,2003,6
1,2003,7
1.000375,2003,8
1.001,2003,9
1.007625,2003,10
2,2003,11
1.00025,2003,12
1.00025,2004,1
1.001375,2004,2
1.075625,2004,3
1,2004,4
1.0005,2004,5
1,2004,6
1,2004,7
1,2004,8
1,2004,9
1,2004,10
1,2004,11
1,2004,12
1,2005,1
1,2005,2
1,2005,3
1,2005,4
1,2005,5
1,2005,6
1,2005,7
1,2005,8
1,2005,9
1,2005,10
1,2005,11
1,2005,12
1,2006,1
1,2006,2
1,2006,3
1,2006,4
1,2006,5
1,2006,6
1,2006,7
1,2006,8
1,2006,9
1,2006,10
1,2006,11
1,2006,12
1,2007,1
1,2007,2
1,2007,3
1,2007,4
1,2007,5
1,2007,6
1,2007,7
2,2007,8
1.840625,2007,9
1.005875,2007,10
1.000375,2007,11
1,2007,12
1,2008,1
1,2008,2
1,2008,3
1.00975,2008,4
1.2095,2008,5
1,2008,6
1,2008,7
1,2008,8
1,2008,9
1,2008,10
1,2008,11
1,2008,12
1,2009,1
1,2009,2
1,2009,3
1,2009,4
1,2009,5
1,2009,6
1,2009,7
1,2009,8
1,2009,9
1,2009,10
1,2009,11
1,2009,12
1,2010,1
1,2010,2
1,2010,3
1,2010,4
1,2010,5
1,2010,6
1,2010,7
1,2010,8
1,2010,9
1,2010,10
1,2010,11
1,2010,12
1,2011,1
1.178375,2011,2
1,2011,3
1,2011,4
1,2011,5
1,2011,6
1,2011,7
1,2011,8
1,2011,9
1,2011,10
1,2011,11
1,2011,12
1,2012,1
1,2012,2
1,2012,3
1,2012,4
1,2012,5
1,2012,6
1,2012,7
1,2012,8
1,2012,9
1,2012,10
1,2012,11
1,2012,12
1.00025,2013,1
1,2013,2
1,2013,3
1,2013,4
1,2013,5
1,2013,6
1,2013,7
1.08475,2013,8
1,2013,9
1.000125,2013,10
1.92475,2013,11
1.860625,2013,12
1,2014,1
1,2014,2
1,2014,3
1,2014,4
1,2014,5
1,2014,6
1,2014,7
1,2014,8
1.0005,2014,9
1,2014,10
1,2014,11
1.000125,2014,12
1,2015,1
1,2015,2
1,2015,3
1,2015,4
1,2015,5
1,2015,6
1.00025,2015,7
1.017125,2015,8
1,2015,9
1,2015,10
1,2015,11
1,2015,12
1,2016,1
1,2016,2
1,2016,3
1,2016,4
1,2016,5
1,2016,6
1.85175,2016,7
1.004625,2016,8
1,2016,9
1,2016,10
1.000375,2016,11
2,2016,12
1.878125,2017,6
1.00075,2022,5
1,2022,7
1,2022,8
1,2022,9
1,2022,10
2,2023,2
1.021375,2023,6
1.0005,2023,9
